dateId;date;month;day;year
0;1/1/1900;0;0;0
1;1/1/2015;1;1;2015
2;2/1/2015;1;2;2015
3;3/1/2015;1;3;2015
4;4/1/2015;1;4;2015
5;5/1/2015;1;5;2015
6;6/1/2015;1;6;2015
7;7/1/2015;1;7;2015
8;8/1/2015;1;8;2015
9;9/1/2015;1;9;2015
10;10/1/2015;1;10;2015
11;11/1/2015;1;11;2015
12;12/1/2015;1;12;2015
13;13/1/2015;1;13;2015
14;14/1/2015;1;14;2015
15;15/1/2015;1;15;2015
16;16/1/2015;1;16;2015
17;17/1/2015;1;17;2015
18;18/1/2015;1;18;2015
19;19/1/2015;1;19;2015
20;20/1/2015;1;20;2015
21;21/1/2015;1;21;2015
22;22/1/2015;1;22;2015
23;23/1/2015;1;23;2015
24;24/1/2015;1;24;2015
25;25/1/2015;1;25;2015
26;26/1/2015;1;26;2015
27;27/1/2015;1;27;2015
28;28/1/2015;1;28;2015
29;29/1/2015;1;29;2015
30;30/1/2015;1;30;2015
31;31/1/2015;1;31;2015
101;1/2/2015;2;1;2015
102;2/2/2015;2;2;2015
103;3/2/2015;2;3;2015
104;4/2/2015;2;4;2015
105;5/2/2015;2;5;2015
106;6/2/2015;2;6;2015
107;7/2/2015;2;7;2015
108;8/2/2015;2;8;2015
109;9/2/2015;2;9;2015
110;10/2/2015;2;10;2015
111;11/2/2015;2;11;2015
112;12/2/2015;2;12;2015
113;13/2/2015;2;13;2015
114;14/2/2015;2;14;2015
115;15/2/2015;2;15;2015
116;16/2/2015;2;16;2015
117;17/2/2015;2;17;2015
118;18/2/2015;2;18;2015
119;19/2/2015;2;19;2015
120;20/2/2015;2;20;2015
121;21/2/2015;2;21;2015
122;22/2/2015;2;22;2015
123;23/2/2015;2;23;2015
124;24/2/2015;2;24;2015
125;25/2/2015;2;25;2015
126;26/2/2015;2;26;2015
127;27/2/2015;2;27;2015
128;28/2/2015;2;28;2015
201;1/3/2015;3;1;2015
202;2/3/2015;3;2;2015
203;3/3/2015;3;3;2015
204;4/3/2015;3;4;2015
205;5/3/2015;3;5;2015
206;6/3/2015;3;6;2015
207;7/3/2015;3;7;2015
208;8/3/2015;3;8;2015
209;9/3/2015;3;9;2015
210;10/3/2015;3;10;2015
211;11/3/2015;3;11;2015
212;12/3/2015;3;12;2015
213;13/3/2015;3;13;2015
214;14/3/2015;3;14;2015
215;15/3/2015;3;15;2015
216;16/3/2015;3;16;2015
217;17/3/2015;3;17;2015
218;18/3/2015;3;18;2015
219;19/3/2015;3;19;2015
220;20/3/2015;3;20;2015
221;21/3/2015;3;21;2015
222;22/3/2015;3;22;2015
223;23/3/2015;3;23;2015
224;24/3/2015;3;24;2015
225;25/3/2015;3;25;2015
226;26/3/2015;3;26;2015
227;27/3/2015;3;27;2015
228;28/3/2015;3;28;2015
229;29/3/2015;3;29;2015
230;30/3/2015;3;30;2015
231;31/3/2015;3;31;2015
301;1/4/2015;4;1;2015
302;2/4/2015;4;2;2015
303;3/4/2015;4;3;2015
304;4/4/2015;4;4;2015
305;5/4/2015;4;5;2015
306;6/4/2015;4;6;2015
307;7/4/2015;4;7;2015
308;8/4/2015;4;8;2015
309;9/4/2015;4;9;2015
310;10/4/2015;4;10;2015
311;11/4/2015;4;11;2015
312;12/4/2015;4;12;2015
313;13/4/2015;4;13;2015
314;14/4/2015;4;14;2015
315;15/4/2015;4;15;2015
316;16/4/2015;4;16;2015
317;17/4/2015;4;17;2015
318;18/4/2015;4;18;2015
319;19/4/2015;4;19;2015
320;20/4/2015;4;20;2015
321;21/4/2015;4;21;2015
322;22/4/2015;4;22;2015
323;23/4/2015;4;23;2015
324;24/4/2015;4;24;2015
325;25/4/2015;4;25;2015
326;26/4/2015;4;26;2015
327;27/4/2015;4;27;2015
328;28/4/2015;4;28;2015
329;29/4/2015;4;29;2015
330;30/4/2015;4;30;2015
401;1/5/2015;5;1;2015
402;2/5/2015;5;2;2015
403;3/5/2015;5;3;2015
404;4/5/2015;5;4;2015
405;5/5/2015;5;5;2015
406;6/5/2015;5;6;2015
407;7/5/2015;5;7;2015
408;8/5/2015;5;8;2015
409;9/5/2015;5;9;2015
410;10/5/2015;5;10;2015
411;11/5/2015;5;11;2015
412;12/5/2015;5;12;2015
413;13/5/2015;5;13;2015
414;14/5/2015;5;14;2015
415;15/5/2015;5;15;2015
416;16/5/2015;5;16;2015
417;17/5/2015;5;17;2015
418;18/5/2015;5;18;2015
419;19/5/2015;5;19;2015
420;20/5/2015;5;20;2015
421;21/5/2015;5;21;2015
422;22/5/2015;5;22;2015
423;23/5/2015;5;23;2015
424;24/5/2015;5;24;2015
